stage	type	logexpr	level	num
zygote	Normal	1.91681378273	0.5	1
zygote	Normal	0.431541478311	1.0	1
zygote	Normal	0.0371056896055	1.0	1
zygote	Normal	0.0397847848042	0.69	1
zygote	Normal	2.00454960846	1.0	1
zygote	Normal	1.52080340069	1.0	1
zygote	Normal	2.71143779007	1.0	1
zygote	Normal	2.53287901934	0.38	1
zygote	Normal	0.0616009920707	1.0	1
zygote	Normal	1.03508658779	1.0	1
zygote	Normal	2.42602321955	0.83	1
zygote	Normal	0.0450157165624	1.0	1
zygote	Normal	1.91938281868	0.18	1
zygote	Normal	2.6453801555	0.33	1
zygote	Normal	1.20134335034	0.83	1
zygote	Normal	6.01871729439	0.775	2
zygote	Change	1.24172224338	0.7	3
zygote	Normal	1.49365213094	0.32	1
zygote	Normal	1.57741872593	1.0	1
zygote	Normal	3.86769696223	1.0	1
zygote	Normal	2.35883876434	0.89	3
zygote	Normal	1.68779057741	1.0	1
zygote	Normal	4.25934050472	0.67	1
zygote	Normal	2.05149978132	0.4	1
zygote	Normal	3.47694163343	0.83	1
zygote	Normal	0.00596350291668	1.0	2
zygote	Normal	1.49930156619	0.31	1
zygote	Normal	1.20892153911	0.78	1
zygote	Change	2.01735334937	0.92	1
zygote	Normal	1.56916160233	0.57	3
zygote	Normal	0.122557398006	0.786666666667	3
zygote	Normal	0.84382756014	0.83	1
zygote	Normal	2.4350859548	0.65	1
zygote	Normal	1.42153360102	1.0	1
zygote	Normal	3.84212400925	0.853333333333	3
zygote	Change	0.749210828696	0.5	1
zygote	Normal	3.20728895562	1.0	1
zygote	Normal	2.72765673074	0.5	2
zygote	Normal	3.28884581882	1.0	1
zygote	Normal	3.57396511232	0.915	2
zygote	Normal	0.0366369936073	1.0	1
zygote	Normal	0.69898510666	0.38	1
zygote	Normal	1.61098471552	0.76	1
zygote	Normal	0.0857049239514	1.0	1
zygote	Normal	1.66214610538	0.35	1
zygote	Normal	2.20727281319	0.83	1
zygote	Normal	1.32968697191	0.67	1
zygote	Normal	1.00217847783	0.67	1
zygote	Normal	1.90705645426	0.835	2
zygote	Normal	2.43177833945	0.6	2
zygote	Normal	1.57697876826	0.835	2
zygote	Change	1.35044436073	0.33	1
zygote	Normal	1.13934787946	0.45	1
zygote	Normal	0.295753659372	0.22	1
zygote	Normal	2.68695594001	0.5	1
zygote	Normal	4.5937178577	0.61	1
zygote	Normal	0.0	0.83	1
zygote	Normal	0.0	1.0	1
zygote	Normal	0.50133997693	0.75	2
zygote	Change	0.299660049211	1.0	1
zygote	Change	2.38519680564	0.67	1
zygote	Normal	2.07141945058	1.0	1
zygote	Normal	0.0296650101935	0.75	2
zygote	Normal	0.0	1.0	1
zygote	Normal	0.0	0.75	1
zygote	Normal	0.56931771453	1.0	1
zygote	Normal	2.31146356248	0.67	1
zygote	Normal	1.59293447682	0.5	1
zygote	Change	1.59043856242	0.8	1
zygote	Normal	3.69539567734	0.79	1
zygote	Normal	2.84675071079	0.55	1
zygote	Normal	2.40589951683	0.72	1
zygote	Normal	0.510226844533	0.58	1
zygote	Normal	0.931565476706	1.0	1
zygote	Normal	1.59511178172	1.0	3
zygote	Change	2.7399299325	0.29	1
zygote	Normal	3.36355435664	0.79	1
zygote	Normal	0.363221965346	0.5	1
zygote	Normal	1.44249982104	0.78	1
zygote	Normal	4.34540025333	0.33	1
zygote	Normal	0.609063151068	0.32	1
zygote	Change	0.1684964286	1.0	1
zygote	Normal	2.17720439304	0.2	1
zygote	Normal	1.75785102098	0.915	2
zygote	Change	3.26389507856	0.425	2
zygote	Normal	2.47663083282	0.76	1
zygote	Normal	2.90635992986	0.67	1
zygote	Normal	1.47274266295	0.2	1
zygote	Change	1.00185539621	0.71	2
zygote	Normal	1.88745139434	0.67	1
zygote	Normal	2.8944633758	0.235	2
zygote	Normal	3.73084879019	1.0	1
zygote	Normal	0.967637624825	1.0	2
zygote	Normal	1.59571214358	0.62	1
zygote	Normal	2.93122041873	0.595	2
zygote	Normal	1.69309684292	0.67	1
zygote	Normal	0.525480317277	1.0	1
zygote	Normal	0.791044918836	0.67	1
zygote	Change	0.636569950741	0.17	1
zygote	Normal	1.49512634426	1.0	1
zygote	Normal	2.7806126939	0.19	1
zygote	Normal	5.66651318956	0.417647058824	17
zygote	Normal	6.04776453705	1.0	2
zygote	Normal	2.96486060989	0.45	1
zygote	Normal	3.0605926179	0.82	1
zygote	Normal	3.09026942738	1.0	1
zygote	Change	1.69232027677	0.29	1
zygote	Normal	0.111473393889	1.0	1
zygote	Normal	1.04202077293	1.0	3
zygote	Normal	0.385185527088	1.0	1
zygote	Change	1.74057318666	0.64	2
zygote	Normal	2.49308147798	0.83	1
zygote	Normal	1.27936316815	0.7	2
zygote	Normal	1.91251290369	1.0	1
zygote	Normal	1.85295647622	0.83	1
zygote	Normal	2.78633752283	1.0	1
zygote	Normal	4.15981546106	1.0	1
zygote	Normal	2.27868883823	0.76	1
zygote	Normal	1.89120955264	0.31	1
zygote	Normal	1.16610269869	0.747777777778	9
zygote	Normal	1.34151402185	0.67	1
zygote	Normal	2.52931420848	1.0	1
zygote	Normal	0.114997827229	1.0	1
zygote	Normal	0.702280345941	0.915	2
zygote	Normal	1.68484775108	1.0	1
zygote	Normal	5.05162367477	1.0	2
zygote	Normal	2.61684823768	0.31	1
zygote	Normal	1.03024065275	0.22	1
zygote	Normal	2.44547258054	1.0	4
zygote	Normal	0.0358627738882	1.0	1
zygote	Normal	0.369191780477	0.67	1
zygote	Normal	2.76224162519	0.29	1
zygote	Normal	0.0	0.5	1
zygote	Normal	1.72980427509	0.58	1
zygote	Change	0.36450282597	0.33	1
zygote	Normal	2.60447327908	0.25	1
zygote	Normal	0.190102043488	1.0	1
zygote	Normal	0.0107513960534	0.846666666667	3
zygote	Normal	1.94028722716	1.0	1
zygote	Normal	4.08268687466	0.5	1
zygote	Normal	3.64466891245	1.0	1
zygote	Normal	3.31936167864	0.49	1
zygote	Change	0.828246093982	0.33	1
zygote	Normal	0.570706627991	0.75	1
zygote	Normal	3.60053992279	0.81	1
zygote	Normal	1.16085129294	1.0	1
zygote	Normal	0.795333664304	0.5	1
zygote	Normal	2.7672369269	0.65	2
zygote	Normal	1.54852799993	0.67	1
zygote	Change	0.895928828212	0.5	1
zygote	Normal	3.06603695091	0.86	3
zygote	Normal	0.552350603134	1.0	1
zygote	Normal	0.0838074582524	1.0	1
zygote	Change	1.44983707411	0.485	2
zygote	Normal	3.65603079623	0.55	2
zygote	Normal	1.41847351365	1.0	1
zygote	Normal	2.2244862448	0.79	1
zygote	Normal	0.821540395328	1.0	1
zygote	Normal	4.81575520805	0.47	1
zygote	Normal	2.25643957865	0.75	2
zygote	Normal	1.97785722055	1.0	1
zygote	Normal	0.580266794752	1.0	1
zygote	Normal	0.310259522834	0.62	2
zygote	Normal	0.718561483888	1.0	1
zygote	Normal	2.66283663328	0.67	1
zygote	Normal	0.563578212865	0.33	1
zygote	Normal	3.61727603525	0.82	1
zygote	Normal	0.164686129423	0.58	1
zygote	Change	0.556704697678	0.665	2
zygote	Normal	0.272273467285	0.75	1
zygote	Normal	2.5183978395	0.75	1
zygote	Normal	0.266992767173	1.0	1
zygote	Normal	3.10717078074	0.88	1
zygote	Normal	0.371973127719	0.67	1
zygote	Change	1.48544941265	0.29	1
zygote	Normal	1.33220505627	0.58	1
zygote	Normal	2.48308833098	0.22	1
zygote	Normal	4.10044591108	0.25	2
zygote	Normal	3.272242169	0.76	1
zygote	Normal	3.20122088963	0.85	1
zygote	Normal	1.79581622944	0.295	2
zygote	Normal	0.734553004619	0.67	1
zygote	Normal	3.86222122975	1.0	1
zygote	Normal	0.355310112981	0.71	2
zygote	Normal	0.79525691816	1.0	1
zygote	Normal	1.00301506767	0.5	1
zygote	Change	1.83263906209	0.33	1
zygote	Normal	2.14440380115	1.0	1
zygote	Normal	0.739577419438	0.75	1
