stage	type	level	num
zygote	up	0.5	1
zygote	down	1.0	1
zygote	up	1.53	3
zygote	up	0.8	1
zygote	down	0.62	1
zygote	down	1.0	1
zygote	up	1.0	1
zygote	up	0.83	1
zygote	down	1.0	1
zygote	down	0.4	1
zygote	down	0.79	1
zygote	up	0.23	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	down	0.89	1
zygote	down	1.0	1
zygote	up	1.67	2
zygote	up	1.15	2
zygote	up	0.31	1
zygote	down	0.37	1
zygote	down	1.0	1
zygote	up	0.58	1
zygote	down	0.77	1
zygote	down	0.5	1
zygote	down	1.34	2
zygote	down	0.75	1
zygote	up	0.5	1
zygote	up	2.0	2
zygote	up	0.5	1
zygote	down	0.5	1
zygote	down	0.79	1
zygote	down	0.85	1
zygote	up	0.67	1
zygote	up	0.48	1
zygote	up	0.8	1
zygote	down	0.22	1
zygote	down	0.5	1
zygote	down	0.22	1
zygote	down	5.53	10
zygote	down	1.0	1
zygote	down	0.76	1
zygote	down	2.0	2
zygote	down	0.86	1
zygote	up	0.31	1
zygote	down	1.68	2
zygote	up	1.0	1
zygote	up	0.68	1
zygote	down	1.0	1
zygote	down	0.75	1
zygote	down	1.0	1
zygote	down	0.22	1
zygote	down	0.76	1
zygote	down	0.86	1
zygote	down	0.5	1
zygote	up	1.17	2
zygote	down	1.67	2
zygote	down	0.88	1
zygote	down	0.79	1
zygote	down	0.28	1
zygote	down	0.83	1
zygote	up	1.0	1
zygote	down	1.0	1
zygote	up	0.53	1
zygote	up	0.83	1
zygote	up	0.84	2
zygote	up	1.55	2
zygote	up	1.0	1
zygote	down	0.5	1
zygote	down	0.84	1
zygote	up	0.67	1
zygote	up	0.18	1
zygote	up	1.0	1
zygote	up	1.0	1
zygote	down	0.67	1
zygote	down	0.8	1
zygote	down	0.27	1
zygote	up	0.49	1
zygote	down	0.67	1
zygote	down	1.0	1
zygote	up	1.0	1
zygote	down	1.49	2
zygote	down	1.08	2
zygote	up	2.0	2
zygote	up	0.58	1
zygote	down	1.53	2
zygote	down	0.67	1
zygote	down	0.5	1
zygote	up	0.76	1
zygote	down	0.86	1
zygote	down	1.0	1
zygote	up	1.0	1
zygote	up	1.36	2
zygote	down	1.0	1
zygote	up	0.77	1
zygote	down	1.0	1
zygote	up	0.74	2
zygote	down	1.0	1
zygote	down	0.68	1
zygote	down	1.62	2
zygote	down	0.75	1
zygote	down	0.83	1
zygote	up	0.5	1
zygote	down	1.59	2
zygote	down	0.62	1
zygote	down	0.55	1
zygote	down	0.22	1
zygote	down	1.17	2
zygote	down	0.5	1
zygote	up	0.91	1
zygote	down	1.28	2
zygote	up	1.0	1
zygote	up	2.0	2
zygote	down	1.42	2
zygote	down	0.33	1
zygote	up	0.67	1
zygote	down	0.29	1
zygote	down	0.85	1
zygote	down	4.0	4
zygote	down	1.0	1
zygote	down	0.67	1
zygote	down	1.0	1
zygote	down	0.67	1
zygote	up	1.0	1
zygote	down	0.69	1
zygote	down	0.67	1
zygote	up	0.5	1
zygote	down	0.23	1
zygote	down	2.27	6
zygote	down	0.75	1
zygote	down	0.9	1
zygote	down	1.56	2
zygote	down	0.33	1
zygote	up	1.0	1
zygote	down	0.5	1
zygote	down	0.2	1
zygote	down	0.33	1
zygote	down	0.25	1
zygote	down	1.0	2
zygote	up	1.0	1
zygote	down	0.56	1
zygote	up	1.0	1
zygote	up	0.23	1
zygote	down	0.67	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	0.88	1
zygote	down	1.0	1
zygote	down	0.5	1
zygote	down	0.62	1
zygote	down	0.67	1
zygote	down	0.67	1
zygote	down	0.5	1
zygote	down	0.75	1
zygote	down	0.85	1
zygote	down	0.75	1
zygote	down	1.0	1
zygote	down	1.72	2
zygote	down	0.17	1
zygote	up	0.8	1
zygote	down	0.72	1
zygote	up	4.67	5
zygote	down	0.67	1
zygote	down	2.0	2
zygote	down	1.0	1
zygote	up	0.98	2
zygote	down	0.8	1
zygote	down	1.83	2
zygote	down	1.0	1
zygote	up	1.53	2
zygote	down	0.67	1
zygote	down	0.67	1
zygote	up	1.0	1
zygote	down	0.45	1
zygote	up	1.0	1
zygote	down	1.67	2
zygote	down	2.0	2
zygote	down	1.17	2
zygote	down	1.0	1
zygote	down	1.0	1
zygote	down	2.0	2
zygote	down	0.83	1
early	up	1.0	1
early	down	0.85	1
early	down	0.49	1
early	up	1.5	2
early	down	3.0	3
early	down	1.0	1
early	up	2.0	2
early	up	0.5	1
early	down	0.2	1
early	up	0.5	1
early	down	1.0	1
early	up	1.0	1
early	down	0.5	1
early	down	1.76	2
early	down	0.25	1
early	up	2.0	2
early	up	0.8	3
early	down	1.0	1
early	up	2.0	2
early	down	2.67	3
early	down	2.0	2
early	up	0.67	1
early	down	0.33	1
early	down	1.33	2
early	up	3.17	5
early	down	0.25	1
early	down	1.0	1
early	down	0.5	1
early	down	1.87	2
early	up	4.0	4
early	up	1.0	1
early	down	7.51	16
early	up	1.0	1
early	up	1.0	1
early	up	1.0	1
early	up	2.67	3
early	down	2.66	3
early	up	2.0	2
early	up	0.33	1
early	down	0.56	1
early	down	5.0	5
early	up	1.0	1
early	down	0.75	1
early	down	0.9	1
early	down	0.84	1
early	down	0.9	1
early	up	1.83	2
early	down	0.67	1
early	down	4.58	5
early	down	2.97	4
early	down	1.0	1
early	down	1.84	3
early	up	1.0	1
early	down	3.8	4
early	up	0.67	1
early	down	1.0	1
early	up	0.27	1
early	down	1.0	1
early	up	0.94	4
early	up	0.4	1
early	up	1.48	2
early	up	0.71	2
early	up	1.0	1
early	up	1.0	1
early	down	1.0	1
early	up	1.0	1
early	down	0.25	1
early	up	2.17	3
early	down	0.75	1
early	down	3.93	6
early	up	0.84	1
early	down	1.0	1
early	down	1.52	2
early	up	0.25	1
early	up	1.0	1
early	up	1.0	1
early	down	1.67	2
early	up	1.0	1
early	up	2.0	2
early	down	0.2	1
early	up	1.67	5
early	down	0.77	1
early	down	1.33	3
early	down	1.0	1
early	up	1.0	1
early	up	0.83	1
early	down	0.5	1
early	down	1.82	2
early	up	1.0	1
early	down	1.33	2
early	up	2.0	2
early	down	1.0	1
early	down	1.0	1
early	up	0.5	1
early	up	1.0	1
early	down	0.67	1
early	up	0.67	1
early	down	0.67	1
early	up	1.22	2
early	up	0.67	1
early	up	1.0	1
early	down	1.0	1
early	up	0.5	1
early	up	0.67	1
early	down	0.83	1
early	down	1.0	1
early	up	1.18	2
early	down	0.65	1
early	down	1.0	1
early	down	0.5	1
early	up	1.0	1
early	up	1.37	2
early	up	1.0	1
early	down	1.0	1
early	down	1.0	1
early	down	1.0	1
early	down	1.0	1
early	up	1.0	1
early	up	0.42	1
early	up	0.42	1
early	down	0.33	1
early	down	0.56	1
early	up	1.0	1
early	up	0.5	1
early	down	1.0	1
early	down	1.0	1
early	up	0.81	1
early	down	0.67	2
early	down	1.0	1
early	up	1.0	1
early	down	0.67	1
early	up	0.73	1
early	up	0.22	1
early	down	1.36	2
early	down	0.57	1
early	down	4.76	5
early	down	0.5	1
early	down	0.55	1
early	down	3.37	4
early	down	1.0	1
early	up	3.4	4
early	up	0.5	1
early	up	2.5	3
early	up	0.4	1
early	down	1.0	1
early	up	0.5	1
early	up	0.83	1
early	up	1.34	2
early	up	0.65	1
early	down	0.66	3
early	up	1.0	1
early	down	1.0	1
early	down	3.18	5
early	down	1.0	1
early	down	1.0	1
early	up	1.0	1
early	down	0.82	1
early	up	1.0	1
early	down	0.5	1
early	up	1.0	1
early	down	2.0	2
early	down	1.33	2
early	down	0.54	1
early	up	2.0	2
early	down	1.0	1
early	up	1.67	2
early	up	1.0	1
early	up	1.0	1
early	down	2.0	2
early	down	1.73	6
early	up	1.0	1
early	down	2.0	2
early	down	1.0	1
early	down	0.38	1
early	up	1.0	1
early	up	1.0	1
early	down	0.79	1
early	down	0.67	1
early	up	1.5	2
early	down	0.52	1
early	up	0.31	1
early	down	2.0	2
early	up	0.18	1
early	up	0.13	1
early	up	1.0	1
early	down	1.0	1
early	down	0.88	1
early	up	1.0	1
early	down	1.0	1
early	up	1.5	2
early	up	1.0	1
early	up	0.25	1
early	up	0.29	1
early	down	2.38	3
early	down	0.73	1
early	down	0.33	1
early	down	1.0	1
early	down	0.67	1
early	up	1.0	1
early	down	1.13	3
early	up	1.0	1
early	down	2.5	3
early	up	2.73	5
early	down	1.0	1
early	up	2.0	2
early	down	0.83	1
early	up	0.88	1
early	up	0.5	1
early	up	1.0	1
early	down	1.0	1
early	down	4.0	4
early	up	3.0	3
early	down	0.41	1
early	down	4.88	5
early	up	1.0	1
early	up	0.67	1
early	up	2.83	3
early	up	0.69	2
early	down	0.33	1
early	down	1.0	1
early	down	0.88	1
early	up	1.0	1
early	up	1.0	1
early	down	0.67	1
early	down	0.58	1
early	up	0.25	1
early	up	0.67	1
early	down	4.77	6
early	down	1.0	1
early	up	1.67	2
early	down	1.0	1
early	down	2.44	4
early	up	1.0	1
early	down	0.5	1
early	down	3.4	6
early	up	1.0	1
early	up	0.81	1
early	down	1.34	2
early	down	0.42	1
early	down	1.0	1
early	down	0.71	1
early	down	0.29	1
early	up	1.0	1
early	up	1.0	1
early	up	1.0	1
early	up	1.0	1
